Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
2.5V_PCU_ELB,10,35.270761299524736,0.08745403621679676,1.0,IBS_N
Radial Distance from Sun,10,0.0316985889313477,7.859681623772576e-05,1.0,IBS_N
Electronic Box Temperature,10,33.32543263140268,0.0826305836592867,1.0,IBS_N
Outboard Sensor Temperature,10,8.472025226693052,0.021006430644149823,1.0,IBS_N
Inboard Sensor Temperature,10,28.222443394683168,0.06997769528718327,1.0,IBS_N
Search Coil Magnetometer's Temperature,10,54.482979705528166,0.1350908317488023,1.0,IBS_N
Solar Array's Angle,10,19.4278938953062,0.04817156403026343,1.0,IBS_N
High Gain Antenna Azimuth,10,91.8204552800037,0.22766929676701972,1.0,IBS_N
High Gain Antenna Elevation,10,107.3680308350238,0.2662195912765526,1.0,IBS_N
Heater Dutycycle,10,23.755704654826197,0.0589023933335596,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,10,1.1288462773999957,0.0027989802201481167,1.0,IBS_N
2.5V_PCU_ELB,20,5.039827675405335,0.01582030323709097,0.9999999999999998,IBS_N
Radial Distance from Sun,20,0.0381897937077023,0.00011987991572930267,0.9999999999999998,IBS_N
Electronic Box Temperature,20,6.3358519095876495,0.019888596382795356,0.9999999999999998,IBS_N
Outboard Sensor Temperature,20,18.760183559136536,0.05888927396017734,0.9999999999999998,IBS_N
Inboard Sensor Temperature,20,65.20644244471669,0.20468669941266804,0.9999999999999998,IBS_N
Search Coil Magnetometer's Temperature,20,6.620699669918643,0.020782749563237207,0.9999999999999998,IBS_N
Solar Array's Angle,20,10.232858234062192,0.03212151896284968,0.9999999999999998,IBS_N
High Gain Antenna Azimuth,20,57.59411051232979,0.18079116026567416,0.9999999999999998,IBS_N
High Gain Antenna Elevation,20,90.16806228133284,0.2830426315076066,0.9999999999999998,IBS_N
Heater Dutycycle,20,26.599643158675555,0.08349777966065376,0.9999999999999998,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,20,31.97120244590825,0.1003594071315174,0.9999999999999998,IBS_N
2.5V_PCU_ELB,30,70.42697360758365,0.1537627967976743,1.0,IBS_N
Radial Distance from Sun,30,0.0420953128690233,9.190644872630402e-05,1.0,IBS_N
Electronic Box Temperature,30,19.88667547214845,0.04341846146397501,1.0,IBS_N
Outboard Sensor Temperature,30,60.290613931565446,0.13163214240073604,1.0,IBS_N
Inboard Sensor Temperature,30,36.78162544789721,0.08030510626718423,1.0,IBS_N
Search Coil Magnetometer's Temperature,30,3.554517685527806,0.007760557533522897,1.0,IBS_N
Solar Array's Angle,30,82.27713163335862,0.1796351770406521,1.0,IBS_N
High Gain Antenna Azimuth,30,44.49733583779961,0.09715077133072625,1.0,IBS_N
High Gain Antenna Elevation,30,38.28061545353302,0.08357784232031351,1.0,IBS_N
Heater Dutycycle,30,20.35455096310053,0.04443997126848164,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,30,81.63135976737516,0.1782252671280078,1.0,IBS_N
2.5V_PCU_ELB,40,28.343092183275736,0.06552588175307565,1.0,IBS_N
Radial Distance from Sun,40,0.0417183634687593,9.644792931939774e-05,1.0,IBS_N
Electronic Box Temperature,40,43.406656242485305,0.1003510628215715,1.0,IBS_N
Outboard Sensor Temperature,40,31.686840673708293,0.07325623335971487,1.0,IBS_N
Inboard Sensor Temperature,40,33.27334323733959,0.07692403991777268,1.0,IBS_N
Search Coil Magnetometer's Temperature,40,7.290604924621895,0.01685501755101559,1.0,IBS_N
Solar Array's Angle,40,102.33274225186064,0.23658121438916377,1.0,IBS_N
High Gain Antenna Azimuth,40,110.8933403083302,0.25637230607233674,1.0,IBS_N
High Gain Antenna Elevation,40,29.213335158358092,0.06753778073406753,1.0,IBS_N
Heater Dutycycle,40,39.77889807607893,0.0919641143861794,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,40,6.287475626712726,0.014535901085782926,1.0,IBS_N
